framework,scenario,run,value,status,hwnd,focusHwnd,queryFocus,windowDpi,windowLeft,windowTop,windowWidth,windowHeight,query,resultCount,workingSetBytes,privateBytes,handleCount,userObjects,gdiObjects
avalonia,summon-escape-lifecycle,22,0.000,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,summon-escape-lifecycle,23,0.000,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,summon-escape-lifecycle,24,0.000,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,summon-escape-lifecycle,25,0.000,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,summon-escape-lifecycle,26,0.000,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,summon-escape-lifecycle,27,0.000,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,summon-escape-lifecycle,28,0.000,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,summon-escape-lifecycle,29,0.000,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,summon-escape-lifecycle,30,0.000,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,summon-escape-lifecycle,31,0.000,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,summon-escape-lifecycle,32,0.000,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,summon-escape-lifecycle,33,0.000,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,summon-escape-lifecycle,34,0.000,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,summon-escape-lifecycle,35,0.000,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,summon-escape-lifecycle,36,0.000,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,summon-escape-lifecycle,37,0.000,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,summon-escape-lifecycle,38,0.000,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,summon-escape-lifecycle,39,0.000,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,summon-escape-lifecycle,40,0.000,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,summon-escape-lifecycle,41,0.000,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,summon-escape-lifecycle,42,0.000,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,summon-escape-lifecycle,43,0.000,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,summon-escape-lifecycle,44,0.000,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,summon-escape-lifecycle,45,0.000,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,summon-escape-lifecycle,46,0.000,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,summon-escape-lifecycle,47,0.000,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,summon-escape-lifecycle,48,0.000,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,summon-escape-lifecycle,49,0.000,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,summon-escape-lifecycle,50,0.000,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,resource-snapshot,50,0.000,observed,,,,,,,,,,,215420928,225775616,927,247,75
avalonia,summon-escape-lifecycle,51,0.000,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,summon-escape-lifecycle,52,0.000,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,summon-escape-lifecycle,53,0.000,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,summon-escape-lifecycle,54,0.000,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,summon-escape-lifecycle,55,0.000,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,summon-escape-lifecycle,56,0.000,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,summon-escape-lifecycle,57,0.000,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,summon-escape-lifecycle,58,0.000,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,summon-escape-lifecycle,59,0.000,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,summon-escape-lifecycle,60,0.000,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,summon-escape-lifecycle,61,0.000,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,summon-escape-lifecycle,62,0.000,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,summon-escape-lifecycle,63,0.000,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,summon-escape-lifecycle,64,0.000,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,summon-escape-lifecycle,65,0.000,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,summon-escape-lifecycle,66,0.000,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,summon-escape-lifecycle,67,0.000,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,summon-escape-lifecycle,68,0.000,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,summon-escape-lifecycle,69,0.000,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,summon-escape-lifecycle,70,0.000,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,summon-escape-lifecycle,71,0.000,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,summon-escape-lifecycle,72,0.000,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,summon-escape-lifecycle,73,0.000,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,summon-escape-lifecycle,74,0.000,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,summon-escape-lifecycle,75,0.000,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,summon-escape-lifecycle,76,0.000,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,summon-escape-lifecycle,77,0.000,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,summon-escape-lifecycle,78,0.000,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
